task_id,set,difficulty,on_solved_of_2,off_solved_of_2,brief_solved_of_2,limit_solved_of_2,lora1_solved_of_2,lora2_solved_of_2,on16k_try1
HumanEval/77,HumanEval+,easy,0,0,0,0,0,0,fail
HumanEval/78,HumanEval+,easy,1,2,0,2,2,2,pass
HumanEval/79,HumanEval+,easy,1,2,0,1,2,2,
HumanEval/80,HumanEval+,easy,2,2,1,2,2,2,
HumanEval/81,HumanEval+,easy,1,0,0,1,0,0,
HumanEval/82,HumanEval+,easy,2,2,1,2,2,2,
HumanEval/83,HumanEval+,easy,0,0,0,1,0,0,fail
HumanEval/84,HumanEval+,easy,1,0,0,1,1,1,
HumanEval/85,HumanEval+,easy,2,1,0,2,2,2,
HumanEval/86,HumanEval+,easy,0,0,0,0,0,0,fail
HumanEval/87,HumanEval+,easy,1,0,0,2,1,1,
HumanEval/88,HumanEval+,easy,1,2,0,2,0,0,
HumanEval/89,HumanEval+,easy,1,1,0,0,1,1,
HumanEval/90,HumanEval+,easy,0,1,0,0,1,1,
HumanEval/91,HumanEval+,easy,0,0,0,0,0,0,fail
HumanEval/92,HumanEval+,easy,2,2,0,2,1,2,
HumanEval/93,HumanEval+,easy,0,0,0,0,0,0,
HumanEval/94,HumanEval+,easy,1,1,0,2,1,2,pass
HumanEval/95,HumanEval+,easy,1,2,0,1,2,0,
HumanEval/96,HumanEval+,easy,0,2,0,0,1,1,
HumanEval/97,HumanEval+,easy,0,0,0,0,1,0,
HumanEval/98,HumanEval+,easy,2,2,0,2,1,1,
HumanEval/99,HumanEval+,easy,0,1,0,0,2,0,pass
HumanEval/100,HumanEval+,easy,2,0,0,2,1,0,fail
HumanEval/101,HumanEval+,easy,0,0,0,1,0,1,
HumanEval/102,HumanEval+,easy,2,1,0,2,2,2,
HumanEval/103,HumanEval+,easy,0,0,0,0,1,0,
HumanEval/104,HumanEval+,easy,1,1,0,2,2,2,
HumanEval/105,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/106,HumanEval+,easy,1,0,0,1,1,2,
HumanEval/107,HumanEval+,easy,1,0,0,0,1,1,
HumanEval/108,HumanEval+,easy,0,0,0,0,0,0,
HumanEval/109,HumanEval+,easy,2,1,0,1,1,0,
HumanEval/110,HumanEval+,easy,2,1,0,1,1,0,
HumanEval/111,HumanEval+,easy,1,2,0,1,0,2,
HumanEval/112,HumanEval+,easy,1,1,0,1,0,1,
HumanEval/113,HumanEval+,easy,0,0,0,0,1,0,
HumanEval/114,HumanEval+,easy,0,0,0,0,1,1,
HumanEval/115,HumanEval+,easy,0,0,0,0,1,1,
HumanEval/116,HumanEval+,easy,1,2,0,2,0,0,
HumanEval/117,HumanEval+,easy,2,0,0,2,0,0,
HumanEval/118,HumanEval+,easy,0,0,0,0,0,0,fail
HumanEval/119,HumanEval+,easy,1,1,0,1,1,1,fail
HumanEval/120,HumanEval+,easy,0,1,0,2,1,1,fail
HumanEval/121,HumanEval+,easy,2,1,1,2,1,2,
HumanEval/122,HumanEval+,easy,0,0,0,0,0,0,
HumanEval/123,HumanEval+,easy,2,0,0,2,1,0,
HumanEval/124,HumanEval+,easy,0,0,0,0,0,0,
HumanEval/125,HumanEval+,easy,0,0,0,0,0,0,
HumanEval/126,HumanEval+,easy,0,1,0,0,0,0,pass
HumanEval/127,HumanEval+,easy,2,0,0,2,1,2,
HumanEval/128,HumanEval+,easy,2,0,0,1,1,2,
HumanEval/129,HumanEval+,easy,0,0,0,0,0,0,fail
HumanEval/130,HumanEval+,easy,0,0,0,0,0,0,
HumanEval/131,HumanEval+,easy,0,0,0,0,0,0,
HumanEval/132,HumanEval+,easy,0,0,0,0,0,0,fail
HumanEval/133,HumanEval+,easy,2,0,0,2,2,2,
HumanEval/134,HumanEval+,easy,0,0,0,0,0,0,fail
HumanEval/135,HumanEval+,easy,1,1,0,1,1,0,
HumanEval/136,HumanEval+,easy,1,0,0,1,2,2,
HumanEval/137,HumanEval+,easy,0,0,0,0,2,1,fail
HumanEval/138,HumanEval+,easy,2,0,0,2,2,2,
HumanEval/139,HumanEval+,easy,2,0,0,2,2,2,
HumanEval/140,HumanEval+,easy,0,0,0,0,0,0,
HumanEval/141,HumanEval+,easy,2,0,0,1,1,1,
HumanEval/142,HumanEval+,easy,2,0,0,2,1,2,
HumanEval/143,HumanEval+,easy,2,0,0,2,2,2,
HumanEval/144,HumanEval+,easy,1,1,0,2,2,2,
HumanEval/145,HumanEval+,easy,0,0,0,0,0,0,
HumanEval/146,HumanEval+,easy,2,2,0,2,1,1,
HumanEval/147,HumanEval+,easy,0,0,0,0,1,0,fail
HumanEval/148,HumanEval+,easy,0,1,0,0,1,2,
HumanEval/149,HumanEval+,easy,1,1,0,2,2,2,
HumanEval/150,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/151,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/152,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/153,HumanEval+,easy,1,2,0,2,2,2,
HumanEval/154,HumanEval+,easy,0,0,0,1,0,0,fail
HumanEval/155,HumanEval+,easy,2,2,0,2,2,1,
HumanEval/156,HumanEval+,easy,0,0,0,0,0,0,
HumanEval/157,HumanEval+,easy,1,2,0,1,2,0,pass
HumanEval/158,HumanEval+,easy,1,2,0,1,1,2,
HumanEval/159,HumanEval+,easy,1,0,0,0,0,1,fail
HumanEval/160,HumanEval+,easy,0,0,0,1,0,0,fail
HumanEval/161,HumanEval+,easy,2,0,0,2,2,0,
HumanEval/162,HumanEval+,easy,2,1,0,2,1,2,
HumanEval/163,HumanEval+,easy,0,0,0,0,0,0,fail
lcb/arc192_a,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/arc194_a,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/arc195_a,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/abc391_a,LiveCodeBench,easy,2,2,0,2,1,2,
lcb/abc391_b,LiveCodeBench,easy,0,0,0,1,0,0,fail
lcb/abc391_d,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/abc392_a,LiveCodeBench,easy,0,2,2,2,2,0,fail
lcb/abc392_b,LiveCodeBench,easy,0,2,1,1,1,2,pass
lcb/abc392_c,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/abc392_d,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/abc393_a,LiveCodeBench,easy,0,1,1,2,2,2,pass
lcb/abc393_b,LiveCodeBench,easy,0,2,0,1,0,0,fail
lcb/abc394_a,LiveCodeBench,easy,2,2,2,2,2,1,
lcb/abc394_b,LiveCodeBench,easy,1,2,1,2,2,2,
lcb/abc394_c,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/abc394_d,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/abc395_a,LiveCodeBench,easy,1,2,2,2,2,2,
lcb/abc395_b,LiveCodeBench,easy,0,0,0,0,0,0,fail
lcb/abc395_c,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/abc396_a,LiveCodeBench,easy,2,2,2,2,2,2,
lcb/abc396_b,LiveCodeBench,easy,0,1,0,0,0,0,fail
lcb/abc396_c,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/abc396_d,LiveCodeBench,medium,0,2,0,0,0,0,fail
lcb/abc397_a,LiveCodeBench,easy,2,2,1,2,2,2,
lcb/abc397_b,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/abc397_c,LiveCodeBench,medium,0,1,0,0,0,0,fail
lcb/abc398_a,LiveCodeBench,easy,0,0,0,0,0,0,fail
lcb/abc398_b,LiveCodeBench,medium,0,1,0,0,0,1,fail
lcb/abc398_c,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/abc399_a,LiveCodeBench,easy,1,2,1,1,2,2,pass
lcb/abc399_b,LiveCodeBench,easy,0,0,0,0,0,0,fail
lcb/abc399_c,LiveCodeBench,medium,0,1,0,0,1,0,fail
lcb/abc399_d,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/abc400_a,LiveCodeBench,easy,1,1,2,2,2,1,pass
lcb/abc400_b,LiveCodeBench,easy,1,1,0,2,2,1,fail
lcb/abc400_c,LiveCodeBench,medium,0,1,0,0,0,0,fail
lcb/abc400_d,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/3705,LiveCodeBench,easy,0,0,0,0,0,0,fail
lcb/3709,LiveCodeBench,easy,0,1,0,2,1,1,fail
lcb/3722,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/3723,LiveCodeBench,easy,0,0,0,1,0,0,fail
lcb/3736,LiveCodeBench,easy,0,0,1,2,1,0,fail
lcb/3743,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/3748,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/3750,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/3753,LiveCodeBench,easy,0,0,0,2,0,0,fail
lcb/3754,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/3759,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/3760,LiveCodeBench,medium,0,0,0,0,0,0,
lcb/3763,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/3764,LiveCodeBench,medium,1,0,0,0,0,0,
lcb/3768,LiveCodeBench,easy,0,2,0,1,2,1,fail
lcb/3771,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/3773,LiveCodeBench,easy,0,0,0,0,0,0,fail
lcb/3776,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/3778,LiveCodeBench,easy,0,1,1,0,0,2,fail
lcb/3779,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/3785,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/3786,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/3788,LiveCodeBench,easy,0,0,0,0,0,0,
lcb/3791,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/3793,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/3794,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/3795,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/3799,LiveCodeBench,easy,0,0,0,0,0,0,fail
lcb/3805,LiveCodeBench,medium,0,0,0,0,0,0,fail
lcb/3809,LiveCodeBench,medium,0,1,0,0,1,1,fail
lcb/3811,LiveCodeBench,easy,2,0,1,1,0,1,
lcb/3817,LiveCodeBench,easy,0,1,1,2,0,0,pass
lcb/3832,LiveCodeBench,easy,0,0,0,0,0,0,fail
